"","indiv_id","date","sex","race","age","charge_num","sec_code","ca_code","section_full","section","subsection1","subsection2","subsection3","subsection4","subsection5","part","part_head","title","title_head","chapter","chapter_head","division","division_head","description_1","description_2","description_3","description_4","description_5","description_6","description_7","description_8","sentence_1","sentence_2","sentence_3","sentence_4","sentence_5","sentence_6","sentence_7","sentence_8","severity_1","severity_2","severity_3","severity_4","severity_5","severity_6","severity_7","severity_8","code","category","violation","class (needs checking)","notes"
"778","423",2016-02-12,"F","White",19,"charge1","602(Q)PC","PC","602 (Q)","602","(Q)",NA,NA,NA,NA,"1","Crimes and punishments","14","Malicious mischief",NA,NA,NA,NA,"TRESPASS:REFUSE TO LEAVE PUBLIC BUILDING",NA,NA,NA,NA,NA,NA,NA,"1-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"PC","Trespassing","public agency, refusal to leave","felony/misdemeanor",NA
"779","424",2016-02-12,"M","White",46,"charge1","21310PC","PC","21310","21310",NA,NA,NA,NA,NA,"6","Control of deadly weapons",NA,NA,NA,NA,NA,NA,"CARRY CONCEALED DIRK OR DAGGER","CARRY CONCEALED DIRK OR DAGGER","CARRY CONCEALED DIRK OR DAGGER","CARRY CONCEALED DIRK OR DAGGER",NA,NA,NA,NA,"16 MO,2,3 YRS","16 MO,2,3 YRS","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,"Felony","Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,"PC","Weapons","concealed knife","misdemeanor",NA
"780","425",2016-02-13,"M","Other",21,"charge1","23152(A)VC","VC","23152 (A)","23152","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","general dui","felony",NA
"781","425",2016-02-13,"M","Other",21,"charge2","23152(B)VC","VC","23152 (B)","23152","(B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL/0.08 PERCENT",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","dui, bac > 0.08","felony",NA
"782","426",2016-02-13,"M","White",48,"charge1","148(A)(1)PC","PC","148 (A) (1)","148","(A)","(1)",NA,NA,NA,"1","Crimes and punishments","7","Crimes against public justice","7","Other offenses against public justice",NA,NA,"OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH","OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH",NA,NA,NA,NA,NA,NA,"1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,NA,"Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,NA,"PC","Assault and battery","resisting arrest","felony",NA
"783","426",2016-02-13,"M","White",48,"charge2","148.10(A)PC","PC","148.10 (A)","148.1","(A)",NA,NA,NA,NA,"1","Crimes and punishments","7","Crimes against public justice","7","Other offenses against public justice",NA,NA,"RESIST PEACE OFFICER RESULTING IN DEATH/SBI","RESIST PEACE OFFICER RESULTS IN DEATH/SERIOUS BODILY INJURY","RESIST PEACE OFFICER RESULTS IN DEATH/SERIOUS BODILY INJURY",NA,NA,NA,NA,NA,"2,3,4 YRS OR J","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"PC","Assault and battery","assault","misdemeanor",NA
"784","426",2016-02-13,"M","White",48,"charge3","69PC","PC","69","69",NA,NA,NA,NA,NA,"1","Crimes and punishments","5","Crimes by and against the executive power of the state",NA,NA,NA,NA,"OBSTRUCT/RESIST EXECUTIVE OFFICER","OBSTRUCT/RESIST EXECUTIVE OFFICER",NA,NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL OR F",NA,NA,NA,NA,NA,NA,"Felony","Misdemeanor",NA,NA,NA,NA,NA,NA,"PC","Assault and battery","deter executive officer from performing duty","misdemeanor",NA
"785","427",2016-02-14,"M","Asian Indian",21,"charge1","594(B)(1)PC","PC","594 (B) (1)","594","(B)","(1)",NA,NA,NA,"1","Crimes and punishments","14","Malicious mischief",NA,NA,NA,NA,"VANDALISM ($400 OR MORE)","VANDALISM ($400 OR MORE)","VANDALISM ($400 OR MORE)",NA,NA,NA,NA,NA,"16 MO,2,3 YRS","16 MO,2,3 YRS","1-365 DA JAIL OR F",NA,NA,NA,NA,NA,"Felony","Felony","Misdemeanor",NA,NA,NA,NA,NA,"PC","Vandalism","personal property vandalism > $400","felony",NA
"786","428",2016-02-14,"M","Hispanic",22,"charge1","4573(A)PC","PC","4573 (A)","4573","(A)",NA,NA,NA,NA,"3","Imprisonment and the death penalty",NA,NA,NA,NA,NA,NA,"BRING CONTROLLED SUBSTANCE/ETC INTO PRISON/JAIL/ETC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC","Probation and prison violations","drugs or paraphenalia","infraction",NA
"787","428",2016-02-14,"M","Hispanic",22,"charge2","14601.2(A)VC","VC","14601.2 (A)","14601.2","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRIVE WHILE LICENSE SUSPENDED/REVOKED FOR DUI:SPECIFIC VIOLATI",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VC","Vehicular violations","driving with suspended license","felony/misdemeanor",NA
"788","428",2016-02-14,"M","Hispanic",22,"charge3","23152(A)VC","VC","23152 (A)","23152","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","general dui","felony",NA
"789","429",2016-02-16,"M","Other Asian",20,"charge1","487(A)PC","PC","487 (A)","487","(A)",NA,NA,NA,NA,"1","Crimes and punishments","13","Crimes against property","5","Larceny",NA,NA,"GRAND THEFT:MONEY/LABOR/PROPERTY","GRAND THEFT:MONEY/LABOR/PROPERTY","GRAND THEFT:MONEY/LABOR/PROPERTY",NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"PC","Theft","grand theft, general","misdemeanor",NA
"790","429",2016-02-16,"M","Other Asian",20,"charge2","182(A)(1)PC","PC","182 (A) (1)","182","(A)","(1)",NA,NA,NA,"1","Crimes and punishments","7","Crimes against public justice","8","Conspiracy",NA,NA,"CONSPIRACY:COMMIT CRIME","CONSPIRACY:COMMIT CRIME","CONSPIRACY:COMMIT CRIME",NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"PC","Miscellaneous","conspiracy to commit a crime","felony/misdemeanor",NA
"791","429",2016-02-16,"M","Other Asian",20,"charge3","459PC","PC","459","459",NA,NA,NA,NA,NA,"1","Crimes and punishments","13","Crimes against property","2","Burglary",NA,NA,"BURGLARY","BURGLARY:FIRST DEGREE","BURGLARY:SECOND DEGREE","BURGLARY","BURGLARY","BURGLARY:SECOND DEGREE","BURGLARY:SECOND DEGREE",NA,"2,4,6 YRS","2,4,6 YRS","16 MO,2,3 YRS OR J","1-365 DA JAIL","1-365 DA JAIL","1-365 DA JAIL","1-365 DA JAIL",NA,"Felony","Felony","Felony","Misdemeanor","Misdemeanor","Misdemeanor","Misdemeanor",NA,"PC","Burglary","burglary, general","felony",NA
"792","430",2016-02-16,"M","Other Asian",20,"charge1","487(A)PC","PC","487 (A)","487","(A)",NA,NA,NA,NA,"1","Crimes and punishments","13","Crimes against property","5","Larceny",NA,NA,"GRAND THEFT:MONEY/LABOR/PROPERTY","GRAND THEFT:MONEY/LABOR/PROPERTY","GRAND THEFT:MONEY/LABOR/PROPERTY",NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"PC","Theft","grand theft, general","misdemeanor",NA
"793","430",2016-02-16,"M","Other Asian",20,"charge2","182(A)(1)PC","PC","182 (A) (1)","182","(A)","(1)",NA,NA,NA,"1","Crimes and punishments","7","Crimes against public justice","8","Conspiracy",NA,NA,"CONSPIRACY:COMMIT CRIME","CONSPIRACY:COMMIT CRIME","CONSPIRACY:COMMIT CRIME",NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"PC","Miscellaneous","conspiracy to commit a crime","felony/misdemeanor",NA
"794","430",2016-02-16,"M","Other Asian",20,"charge3","459PC","PC","459","459",NA,NA,NA,NA,NA,"1","Crimes and punishments","13","Crimes against property","2","Burglary",NA,NA,"BURGLARY","BURGLARY:FIRST DEGREE","BURGLARY:SECOND DEGREE","BURGLARY","BURGLARY","BURGLARY:SECOND DEGREE","BURGLARY:SECOND DEGREE",NA,"2,4,6 YRS","2,4,6 YRS","16 MO,2,3 YRS OR J","1-365 DA JAIL","1-365 DA JAIL","1-365 DA JAIL","1-365 DA JAIL",NA,"Felony","Felony","Felony","Misdemeanor","Misdemeanor","Misdemeanor","Misdemeanor",NA,"PC","Burglary","burglary, general","felony",NA
"795","431",2016-02-16,"M","White",30,"charge1","148(A)(1)PC","PC","148 (A) (1)","148","(A)","(1)",NA,NA,NA,"1","Crimes and punishments","7","Crimes against public justice","7","Other offenses against public justice",NA,NA,"OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH","OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH",NA,NA,NA,NA,NA,NA,"1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,NA,"Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,NA,"PC","Assault and battery","resisting arrest","felony",NA
"796","432",2016-02-17,"M","White",22,"charge1","11379(A)HS","HS","11379 (A)","11379","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Uniform controlled substances act","TRANSPORT/ETC CONTROLLED SUBSTANCE",NA,NA,NA,NA,NA,NA,NA,"2,3,4 YRS",NA,NA,NA,NA,NA,NA,NA,"Felony",NA,NA,NA,NA,NA,NA,NA,"HS","Drug offenses","dangerous drug","misdemeanor/infraction",NA
"797","432",2016-02-17,"M","White",22,"charge2","182(A)(1)PC","PC","182 (A) (1)","182","(A)","(1)",NA,NA,NA,"1","Crimes and punishments","7","Crimes against public justice","8","Conspiracy",NA,NA,"CONSPIRACY:COMMIT CRIME","CONSPIRACY:COMMIT CRIME","CONSPIRACY:COMMIT CRIME",NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"PC","Miscellaneous","conspiracy to commit a crime","felony/misdemeanor",NA
"798","433",2016-02-17,"M","Black",29,"charge1","11351HS","HS","11351","11351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Uniform controlled substances act","POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE",NA,NA,NA,NA,NA,NA,NA,"2,3,4 YRS",NA,NA,NA,NA,NA,NA,NA,"Felony",NA,NA,NA,NA,NA,NA,NA,"HS","Drug offenses","narcotic","misdemeanor",NA
"799","433",2016-02-17,"M","Black",29,"charge2","12022(A)(1)PC","PC","12022 (A) (1)","12022","(A)","(1)",NA,NA,NA,"4","Prevention of crimes and apprehension of criminals",NA,NA,NA,NA,NA,NA,"FELONY WEAPONS POSSESSION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC","Sentence enhancements","firearms","misdemeanor",NA
"800","433",2016-02-17,"M","Black",29,"charge3","12090PC","PC","12090","12090",NA,NA,NA,NA,NA,"4","Prevention of crimes and apprehension of criminals",NA,NA,NA,NA,NA,NA,"UNMARKED FIREARMS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC","Weapons","altered identification","misdemeanor",NA
"801","434",2016-02-17,"M","White",38,"charge1","647(F)PC","PC","647 (F)","647","(F)",NA,NA,NA,NA,"1","Crimes and punishments","15","Miscellaneous crimes","1","Of other and miscellaneous offenses",NA,NA,"DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL","DISORDERLY CONDUCT:ALCOHOL","DISORDERLY CONDUCT:UNDER INFLUENCE OF DRUG","DISORDERLY CONDUCT:TOLUENE",NA,NA,NA,NA,"1-180 DA JAIL","1-180 DA JAIL","1-180 DA JAIL","1-180 DA JAIL",NA,NA,NA,NA,"Misdemeanor","Misdemeanor","Misdemeanor","Misdemeanor",NA,NA,NA,NA,"PC","Drug offenses","other drugs","felony",NA
"802","434",2016-02-17,"M","White",38,"charge2","11357(B)HS","HS","11357 (B)","11357","(B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Uniform controlled substances act","POSSESS MARIJUANA OVER 1 OZ/28.5 GRAMS",NA,NA,NA,NA,NA,NA,NA,"1-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"HS","Drug offenses","marijuana","misdemeanor",NA
"803","434",2016-02-17,"M","White",38,"charge3","26.04.020(A)CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC","Alcohol Related Incidents","consumption alcohol, possession open container",NA,"The Davis code definitions were taken from the City of Davis directly. The categories are just Morgan's suggestions."
"804","435",2016-02-18,"M","Korean",22,"charge1","23152(A)VC","VC","23152 (A)","23152","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","general dui","felony",NA
"805","435",2016-02-18,"M","Korean",22,"charge2","23152(B)VC","VC","23152 (B)","23152","(B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL/0.08 PERCENT",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","dui, bac > 0.08","felony",NA
"806","436",2016-02-18,"M","Other Asian",33,"charge1","23152(A)VC","VC","23152 (A)","23152","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","general dui","felony",NA
"807","437",2016-02-19,"M","Hispanic",23,"charge1","23152(A)VC","VC","23152 (A)","23152","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","general dui","felony",NA
"808","437",2016-02-19,"M","Hispanic",23,"charge2","23152(B)VC","VC","23152 (B)","23152","(B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL/0.08 PERCENT",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","dui, bac > 0.08","felony",NA
"809","438",2016-02-20,"F","White",28,"charge1","23152(A)VC","VC","23152 (A)","23152","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","general dui","felony",NA
"810","438",2016-02-20,"F","White",28,"charge2","23152(B)VC","VC","23152 (B)","23152","(B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL/0.08 PERCENT",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","dui, bac > 0.08","felony",NA
"811","439",2016-02-21,"M","Hispanic",23,"charge1","23152(A)VC","VC","23152 (A)","23152","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","general dui","felony",NA
"812","439",2016-02-21,"M","Hispanic",23,"charge2","23152(B)VC","VC","23152 (B)","23152","(B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL/0.08 PERCENT",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","dui, bac > 0.08","felony",NA
"813","440",2016-02-21,"M","White",26,"charge1","23152(A)VC","VC","23152 (A)","23152","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","general dui","felony",NA
"814","440",2016-02-21,"M","White",26,"charge2","23152(B)VC","VC","23152 (B)","23152","(B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL/0.08 PERCENT",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","dui, bac > 0.08","felony",NA
"815","441",2016-02-21,"F","White",55,"charge1","23152(A)VC","VC","23152 (A)","23152","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","general dui","felony",NA
"816","441",2016-02-21,"F","White",55,"charge2","23152(B)VC","VC","23152 (B)","23152","(B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL/0.08 PERCENT",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","dui, bac > 0.08","felony",NA
"817","442",2016-02-22,"M","Black",30,"charge1","11350(A)HS","HS","11350 (A)","11350","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Uniform controlled substances act","POSSESS NARCOTIC CONTROLLED SUBSTANCE","POSSESS NARCOTIC CONTROLLED SUBSTANCE","POSSESS NARCOTIC CONTROLLED SUBSTANCE","POSSESS NARCOTIC CONTROLLED SUBSTANCE",NA,NA,NA,NA,"16 MO,2,3 YRS","16 MO,2,3 YRS","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,"Felony","Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,"HS","Drug offenses","narcotic","felony",NA
"818","442",2016-02-22,"M","Black",30,"charge2","11364(A)HS","HS","11364 (A)","11364","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Uniform controlled substances act","POSSESS UNLAWFUL PARAPHERNALIA",NA,NA,NA,NA,NA,NA,NA,"15-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"HS","Drug offenses","other drugs","felony",NA
"819","442",2016-02-22,"M","Black",30,"charge3","1203.2(A)PC","PC","1203.2 (A)","1203.2","(A)",NA,NA,NA,NA,"2","Criminal procedure",NA,NA,NA,NA,NA,NA,"PROBATION VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC","Probation and prison violations","general probation violation","felony/misdemeanor",NA
"820","443",2016-02-23,"M","White",26,"charge1","23152(A)VC","VC","23152 (A)","23152","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","general dui","felony",NA
"821","443",2016-02-23,"M","White",26,"charge2","23152(B)VC","VC","23152 (B)","23152","(B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL/0.08 PERCENT",NA,NA,NA,NA,NA,NA,NA,"4-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","dui, bac > 0.08","felony",NA
"822","444",2016-02-24,"M","Black",32,"charge1","191.5(A)PC","PC","191.5 (A)","191.5","(A)",NA,NA,NA,NA,"1","Crimes and punishments","8","Crimes against the person","1","Homicide",NA,NA,"GROSS VEHICULAR MANSLAUGHTER WHILE INTOXICATED",NA,NA,NA,NA,NA,NA,NA,"4,6,10 YRS",NA,NA,NA,NA,NA,NA,NA,"Felony",NA,NA,NA,NA,NA,NA,NA,"PC","Homicide","gross vehicular manslaughter while intoxicated","misdemeanor",NA
"823","444",2016-02-24,"M","Black",32,"charge2","23153(E)VC","VC","23153 (E)","23153","(E)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUI ALCOHOL:CAUSING BODILY INJURY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VC","Alcohol-related incidents","dui, limo/taxi/ride-share, bodily injury, bac > 0.04","felony/misdemeanor",NA
"824","444",2016-02-24,"M","Black",32,"charge3","273A(A)PC","PC","273 A(A)","273","A(A)",NA,NA,NA,NA,"1","Crimes and punishments","9","Crimes against the person involving sexual assault, and crimes against public decency and good morals","2","Abandonment of children",NA,NA,"WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH","CRUELTY TO CHILD WITH POSSIBLE INJURY OR DEATH","CRUELTY TO CHILD WITH POSSIBLE INJURY OR DEATH",NA,NA,NA,NA,NA,"2,4,6 YRS OR J","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"PC","Assault and battery","child endangerment, likely to produce great bodily injury","misdemeanor",NA
"825","445",2016-02-25,"M","Hispanic",24,"charge1","11350(A)HS","HS","11350 (A)","11350","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Uniform controlled substances act","POSSESS NARCOTIC CONTROLLED SUBSTANCE","POSSESS NARCOTIC CONTROLLED SUBSTANCE","POSSESS NARCOTIC CONTROLLED SUBSTANCE","POSSESS NARCOTIC CONTROLLED SUBSTANCE",NA,NA,NA,NA,"16 MO,2,3 YRS","16 MO,2,3 YRS","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,"Felony","Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,"HS","Drug offenses","narcotic","felony",NA
"826","445",2016-02-25,"M","Hispanic",24,"charge2","490.5(A)PC","PC","490.5 (A)","490.5","(A)",NA,NA,NA,NA,"1","Crimes and punishments","13","Crimes against property","5","Larceny",NA,NA,"PETTY THEFT:RETAIL MERCHANDISE/ETC",NA,NA,NA,NA,NA,NA,NA,"1-180 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"PC","Theft","petty theft","felony",NA
"827","446",2016-02-26,"M","Black",20,"charge1","148(A)(1)PC","PC","148 (A) (1)","148","(A)","(1)",NA,NA,NA,"1","Crimes and punishments","7","Crimes against public justice","7","Other offenses against public justice",NA,NA,"OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH","OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH",NA,NA,NA,NA,NA,NA,"1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,NA,"Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,NA,"PC","Assault and battery","resisting arrest","felony",NA
"828","446",2016-02-26,"M","Black",20,"charge2","415(1)PC","PC","415 (1)","415","(1)",NA,NA,NA,NA,"1","Crimes and punishments","11","Crimes against the public peace",NA,NA,NA,NA,"FIGHT/CHALLENGE FIGHT PUBLIC PLACE",NA,NA,NA,NA,NA,NA,NA,"1-90 DA JAIL",NA,NA,NA,NA,NA,NA,NA,"Misdemeanor",NA,NA,NA,NA,NA,NA,NA,"PC","Disturbing the peace","public fight","misdemeanor",NA
"829","447",2016-02-26,"M","White",35,"charge1","459PC","PC","459","459",NA,NA,NA,NA,NA,"1","Crimes and punishments","13","Crimes against property","2","Burglary",NA,NA,"BURGLARY","BURGLARY:FIRST DEGREE","BURGLARY:SECOND DEGREE","BURGLARY","BURGLARY","BURGLARY:SECOND DEGREE","BURGLARY:SECOND DEGREE",NA,"2,4,6 YRS","2,4,6 YRS","16 MO,2,3 YRS OR J","1-365 DA JAIL","1-365 DA JAIL","1-365 DA JAIL","1-365 DA JAIL",NA,"Felony","Felony","Felony","Misdemeanor","Misdemeanor","Misdemeanor","Misdemeanor",NA,"PC","Burglary","burglary, general","felony",NA
"830","447",2016-02-26,"M","White",35,"charge2","470(A)PC","PC","470 (A)","470","(A)",NA,NA,NA,NA,"1","Crimes and punishments","13","Crimes against property","4","Forgery and counterfeiting",NA,NA,"FORGERY","FORGERY","FORGERY",NA,NA,NA,NA,NA,"16 MO,2,3 YRS OR J","1-365 DA JAIL","1-365 DA JAIL",NA,NA,NA,NA,NA,"Felony","Misdemeanor","Misdemeanor",NA,NA,NA,NA,NA,"PC","Theft","forgery, check, and access cards, signature","misdemeanor",NA
