"date","category","disp_desc","n"
2015-07-19,"Suspicious Activity","Advised",1
2015-07-19,"Suspicious Activity","Cancelled by RP",1
2015-07-19,"Suspicious Activity","False Alarm",1
2015-07-19,"Suspicious Activity","Service",7
2015-07-19,"Suspicious Activity","Unable to Locate",3
2015-07-19,"Traffic/Minor Vehicle Violations or Issues","Service",5
2015-07-19,"Traffic/Minor Vehicle Violations or Issues","Unfounded",1
2015-07-19,"Violent Crime/Abuse or Neglect/Public Safety","Arrest Made",1
2015-07-19,"Violent Crime/Abuse or Neglect/Public Safety","Service",1
2015-07-19,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",1
2015-07-19,"Violent Crime/Abuse or Neglect/Public Safety","Unfounded",1
2015-07-20,"Documentation Only/Miscellaneous","Report Taken",3
2015-07-20,"Documentation Only/Miscellaneous","Service",3
2015-07-20,"Mental Health/Welfare","Advised",1
2015-07-20,"Mental Health/Welfare","Service",2
2015-07-20,"Mental Health/Welfare","Unable to Locate",1
2015-07-20,"Nuisance/Code Enforcement","Advised",1
2015-07-20,"Nuisance/Code Enforcement","Cancelled by RP",1
2015-07-20,"Nuisance/Code Enforcement","Referred",2
2015-07-20,"Nuisance/Code Enforcement","Service",7
2015-07-20,"Nuisance/Code Enforcement","Unfounded",1
2015-07-20,"Officer-Initiated Contact","Advised",15
2015-07-20,"Officer-Initiated Contact","Cited",9
2015-07-20,"Officer-Initiated Contact","Service",23
2015-07-20,"Patrol Response for Assessment","Cancelled by RP",5
2015-07-20,"Patrol Response for Assessment","Referred",1
2015-07-20,"Patrol Response for Assessment","Service",25
2015-07-20,"Property Theft/Destruction/Lost","Online Crime Report",2
2015-07-20,"Property Theft/Destruction/Lost","Report Taken",2
2015-07-20,"Property Theft/Destruction/Lost","Service",1
2015-07-20,"Property Theft/Destruction/Lost","Unable to Locate",1
2015-07-20,"Suspicious Activity","Advised",2
2015-07-20,"Suspicious Activity","Cancelled by RP",3
2015-07-20,"Suspicious Activity","False Alarm",1
2015-07-20,"Suspicious Activity","Referred",1
2015-07-20,"Suspicious Activity","Service",4
2015-07-20,"Suspicious Activity","Unable to Locate",2
2015-07-20,"Traffic/Major Safety","Referred",1
2015-07-20,"Traffic/Major Safety","Service",2
2015-07-20,"Traffic/Minor Vehicle Violations or Issues","Cited",1
2015-07-20,"Traffic/Minor Vehicle Violations or Issues","Referred",1
2015-07-20,"Traffic/Minor Vehicle Violations or Issues","Service",17
2015-07-20,"Traffic/Minor Vehicle Violations or Issues","Unable to Locate",1
2015-07-20,"Violent Crime/Abuse or Neglect/Public Safety","Cancelled by RP",1
2015-07-20,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",1
2015-07-20,"Violent Crime/Abuse or Neglect/Public Safety","Service",3
2015-07-20,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",1
2015-07-20,"Violent Crime/Abuse or Neglect/Public Safety","Unfounded",1
2015-07-21,"Documentation Only/Miscellaneous","Service",5
2015-07-21,"Drug/Alcohol","Unfounded",1
2015-07-21,"Mental Health/Welfare","Service",2
2015-07-21,"Nuisance/Code Enforcement","Advised",2
2015-07-21,"Nuisance/Code Enforcement","Referred",1
2015-07-21,"Nuisance/Code Enforcement","Service",6
2015-07-21,"Officer-Initiated Contact","Advised",22
2015-07-21,"Officer-Initiated Contact","Cited",12
2015-07-21,"Officer-Initiated Contact","Service",26
2015-07-21,"Patrol Response for Assessment","Advised",5
2015-07-21,"Patrol Response for Assessment","Cancelled by RP",8
2015-07-21,"Patrol Response for Assessment","False Alarm",1
2015-07-21,"Patrol Response for Assessment","Report Taken",1
2015-07-21,"Patrol Response for Assessment","Service",24
2015-07-21,"Patrol Response for Assessment","Unable to Locate",2
2015-07-21,"Patrol Response for Assessment","Unfounded",1
2015-07-21,"Property Theft/Destruction/Lost","Cancelled by RP",3
2015-07-21,"Property Theft/Destruction/Lost","Online Crime Report",4
2015-07-21,"Property Theft/Destruction/Lost","Report Taken",3
2015-07-21,"Property Theft/Destruction/Lost","Service",3
2015-07-21,"Property Theft/Destruction/Lost","Unable to Locate",1
2015-07-21,"Required Other Agency/Department Response","Referred",1
2015-07-21,"Suspicious Activity","Advised",1
2015-07-21,"Suspicious Activity","Cancelled by RP",2
2015-07-21,"Suspicious Activity","False Alarm",4
2015-07-21,"Suspicious Activity","Report Taken",1
2015-07-21,"Suspicious Activity","Service",3
2015-07-21,"Suspicious Activity","Unable to Locate",2
2015-07-21,"Traffic/Minor Vehicle Violations or Issues","Report Taken",1
2015-07-21,"Traffic/Minor Vehicle Violations or Issues","Service",5
2015-07-21,"Traffic/Minor Vehicle Violations or Issues","Unfounded",1
2015-07-21,"Violent Crime/Abuse or Neglect/Public Safety","False Alarm",1
2015-07-21,"Violent Crime/Abuse or Neglect/Public Safety","Service",1
2015-07-22,"Documentation Only/Miscellaneous","Service",3
2015-07-22,"Drug/Alcohol","Advised",1
2015-07-22,"Mental Health/Welfare","Service",2
2015-07-22,"Mental Health/Welfare","Unable to Locate",1
2015-07-22,"Nuisance/Code Enforcement","Advised",2
2015-07-22,"Nuisance/Code Enforcement","Referred",2
2015-07-22,"Nuisance/Code Enforcement","Service",2
2015-07-22,"Nuisance/Code Enforcement","Unable to Locate",2
2015-07-22,"Nuisance/Code Enforcement","Unfounded",1
2015-07-22,"Officer-Initiated Contact","Advised",15
2015-07-22,"Officer-Initiated Contact","Cancelled by RP",1
2015-07-22,"Officer-Initiated Contact","Cited",9
2015-07-22,"Officer-Initiated Contact","Report Taken",2
2015-07-22,"Officer-Initiated Contact","Service",31
2015-07-22,"Patrol Response for Assessment","False Alarm",1
2015-07-22,"Patrol Response for Assessment","Referred",1
2015-07-22,"Patrol Response for Assessment","Service",39
2015-07-22,"Patrol Response for Assessment","Unable to Locate",1
2015-07-22,"Property Theft/Destruction/Lost","Online Crime Report",4
2015-07-22,"Property Theft/Destruction/Lost","Referred",1
2015-07-22,"Property Theft/Destruction/Lost","Report Taken",6
2015-07-22,"Property Theft/Destruction/Lost","Service",1
2015-07-22,"Required Other Agency/Department Response","Service",1
2015-07-22,"Suspicious Activity","Cancelled by RP",2
2015-07-22,"Suspicious Activity","False Alarm",1
2015-07-22,"Suspicious Activity","Online Crime Report",1
2015-07-22,"Suspicious Activity","Service",1
2015-07-22,"Suspicious Activity","Unable to Locate",2
2015-07-22,"Traffic/Major Safety","Unable to Locate",1
2015-07-22,"Traffic/Minor Vehicle Violations or Issues","Cited",1
2015-07-22,"Traffic/Minor Vehicle Violations or Issues","Service",9
2015-07-22,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",3
2015-07-23,"Documentation Only/Miscellaneous","Service",2
2015-07-23,"Drug/Alcohol","Service",2
2015-07-23,"Drug/Alcohol","Unable to Locate",1
2015-07-23,"Mental Health/Welfare","Advised",2
2015-07-23,"Mental Health/Welfare","Arrest Made",1
2015-07-23,"Mental Health/Welfare","Service",1
2015-07-23,"Nuisance/Code Enforcement","Advised",2
2015-07-23,"Nuisance/Code Enforcement","Cancelled by RP",1
2015-07-23,"Nuisance/Code Enforcement","Referred",1
2015-07-23,"Nuisance/Code Enforcement","Service",5
2015-07-23,"Nuisance/Code Enforcement","Unable to Locate",1
2015-07-23,"Officer-Initiated Contact","Advised",16
2015-07-23,"Officer-Initiated Contact","Arrest Made",1
2015-07-23,"Officer-Initiated Contact","Cited",5
2015-07-23,"Officer-Initiated Contact","Report Taken",1
2015-07-23,"Officer-Initiated Contact","Service",24
2015-07-23,"Patrol Response for Assessment","Advised",3
2015-07-23,"Patrol Response for Assessment","Cancelled by RP",7
2015-07-23,"Patrol Response for Assessment","Report Taken",1
2015-07-23,"Patrol Response for Assessment","Service",33
2015-07-23,"Patrol Response for Assessment","Unable to Locate",2
2015-07-23,"Property Theft/Destruction/Lost","MORF",2
2015-07-23,"Property Theft/Destruction/Lost","Online Crime Report",2
2015-07-23,"Property Theft/Destruction/Lost","Report Taken",3
2015-07-23,"Property Theft/Destruction/Lost","Service",5
2015-07-23,"Required Other Agency/Department Response","Service",1
2015-07-23,"Suspicious Activity","Cancelled by RP",2
2015-07-23,"Suspicious Activity","False Alarm",1
2015-07-23,"Suspicious Activity","Service",3
2015-07-23,"Suspicious Activity","Unable to Locate",3
2015-07-23,"Suspicious Activity","Unfounded",1
2015-07-23,"Traffic/Major Safety","Cancelled by RP",1
2015-07-23,"Traffic/Major Safety","Report Taken",1
2015-07-23,"Traffic/Major Safety","Service",1
2015-07-23,"Traffic/Major Safety","Unable to Locate",1
2015-07-23,"Traffic/Minor Vehicle Violations or Issues","Incident Number Given",1
2015-07-23,"Traffic/Minor Vehicle Violations or Issues","Referred",1
2015-07-23,"Traffic/Minor Vehicle Violations or Issues","Service",8
2015-07-23,"Violent Crime/Abuse or Neglect/Public Safety","False Alarm",1
2015-07-23,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",1
2015-07-23,"Violent Crime/Abuse or Neglect/Public Safety","Service",4
2015-07-24,"Documentation Only/Miscellaneous","Report Taken",1
2015-07-24,"Documentation Only/Miscellaneous","Service",2
2015-07-24,"Mental Health/Welfare","Report Taken",1
2015-07-24,"Mental Health/Welfare","Service",1
2015-07-24,"Mental Health/Welfare","Unable to Locate",2
2015-07-24,"Nuisance/Code Enforcement","Advised",5
2015-07-24,"Nuisance/Code Enforcement","Report Taken",3
2015-07-24,"Nuisance/Code Enforcement","Service",6
2015-07-24,"Officer-Initiated Contact","Advised",5
2015-07-24,"Officer-Initiated Contact","Arrest Made",2
2015-07-24,"Officer-Initiated Contact","Cited",11
2015-07-24,"Officer-Initiated Contact","Service",24
2015-07-24,"Patrol Response for Assessment","Advised",1
2015-07-24,"Patrol Response for Assessment","Cancelled by RP",5
2015-07-24,"Patrol Response for Assessment","Referred",1
2015-07-24,"Patrol Response for Assessment","Report Taken",1
2015-07-24,"Patrol Response for Assessment","Service",22
2015-07-24,"Patrol Response for Assessment","Unable to Locate",6
2015-07-24,"Patrol Response for Assessment","Unfounded",1
2015-07-24,"Property Theft/Destruction/Lost","Cancelled by RP",1
2015-07-24,"Property Theft/Destruction/Lost","Report Taken",3
2015-07-24,"Property Theft/Destruction/Lost","Service",4
2015-07-24,"Suspicious Activity","Advised",2
2015-07-24,"Suspicious Activity","False Alarm",1
2015-07-24,"Suspicious Activity","Service",9
2015-07-24,"Suspicious Activity","Unable to Locate",1
2015-07-24,"Suspicious Activity","Unfounded",1
2015-07-24,"Traffic/Major Safety","Unable to Locate",1
2015-07-24,"Traffic/Minor Vehicle Violations or Issues","Advised",1
2015-07-24,"Traffic/Minor Vehicle Violations or Issues","Service",7
2015-07-24,"Violent Crime/Abuse or Neglect/Public Safety","Advised",1
2015-07-24,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",2
2015-07-24,"Violent Crime/Abuse or Neglect/Public Safety","Service",3
2015-07-24,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",2
2015-07-25,"Documentation Only/Miscellaneous","Service",2
2015-07-25,"Mental Health/Welfare","Report Taken",1
2015-07-25,"Mental Health/Welfare","Service",4
2015-07-25,"Nuisance/Code Enforcement","Advised",2
2015-07-25,"Nuisance/Code Enforcement","Cited",1
2015-07-25,"Nuisance/Code Enforcement","Service",2
2015-07-25,"Nuisance/Code Enforcement","Unable to Locate",1
2015-07-25,"Officer-Initiated Contact","Advised",7
2015-07-25,"Officer-Initiated Contact","Arrest Made",1
2015-07-25,"Officer-Initiated Contact","Cited",5
2015-07-25,"Officer-Initiated Contact","Service",25
2015-07-25,"Patrol Response for Assessment","Advised",5
2015-07-25,"Patrol Response for Assessment","Cancelled by RP",4
2015-07-25,"Patrol Response for Assessment","Report Taken",1
2015-07-25,"Patrol Response for Assessment","Service",17
2015-07-25,"Patrol Response for Assessment","Unable to Locate",2
2015-07-25,"Property Theft/Destruction/Lost","Service",1
2015-07-25,"Required Other Agency/Department Response","Service",2
2015-07-25,"Required Other Agency/Department Response","Unable to Locate",1
2015-07-25,"Suspicious Activity","Advised",1
2015-07-25,"Suspicious Activity","Cancelled by RP",1
2015-07-25,"Suspicious Activity","Report Taken",1
2015-07-25,"Suspicious Activity","Service",3
2015-07-25,"Suspicious Activity","Unable to Locate",1
2015-07-25,"Traffic/Minor Vehicle Violations or Issues","Service",4
2015-07-25,"Violent Crime/Abuse or Neglect/Public Safety","Service",1
2015-07-26,"Documentation Only/Miscellaneous","Service",1
2015-07-26,"Drug/Alcohol","Service",1
2015-07-26,"Mental Health/Welfare","Unable to Locate",3
2015-07-26,"Nuisance/Code Enforcement","Advised",1
2015-07-26,"Nuisance/Code Enforcement","Referred",1
2015-07-26,"Nuisance/Code Enforcement","Service",6
2015-07-26,"Nuisance/Code Enforcement","Unable to Locate",1
2015-07-26,"Nuisance/Code Enforcement","Unfounded",1
2015-07-26,"Officer-Initiated Contact","Advised",4
2015-07-26,"Officer-Initiated Contact","Cited",2
2015-07-26,"Officer-Initiated Contact","Service",16
2015-07-26,"Patrol Response for Assessment","Advised",2
2015-07-26,"Patrol Response for Assessment","Cancelled by RP",7
2015-07-26,"Patrol Response for Assessment","Referred",1
2015-07-26,"Patrol Response for Assessment","Report Taken",1
2015-07-26,"Patrol Response for Assessment","Service",15
2015-07-26,"Patrol Response for Assessment","Unable to Locate",3
2015-07-26,"Property Theft/Destruction/Lost","Report Taken",3
2015-07-26,"Required Other Agency/Department Response","Referred",2
2015-07-26,"Suspicious Activity","False Alarm",1
2015-07-26,"Suspicious Activity","Referred",1
2015-07-26,"Suspicious Activity","Report Taken",1
2015-07-26,"Suspicious Activity","Service",7
2015-07-26,"Suspicious Activity","Unable to Locate",1
2015-07-26,"Traffic/Major Safety","Service",1
2015-07-26,"Traffic/Major Safety","Unable to Locate",1
2015-07-26,"Traffic/Major Safety","Unfounded",1
2015-07-26,"Traffic/Minor Vehicle Violations or Issues","Cancelled by RP",1
2015-07-26,"Traffic/Minor Vehicle Violations or Issues","Service",2
2015-07-26,"Violent Crime/Abuse or Neglect/Public Safety","Service",2
2015-07-26,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",1
2015-07-27,"Documentation Only/Miscellaneous","Service",4
2015-07-27,"Drug/Alcohol","Advised",1
2015-07-27,"Mental Health/Welfare","Service",2
2015-07-27,"Nuisance/Code Enforcement","Advised",9
2015-07-27,"Nuisance/Code Enforcement","False Alarm",2
2015-07-27,"Nuisance/Code Enforcement","Referred",1
2015-07-27,"Nuisance/Code Enforcement","Service",3
2015-07-27,"Nuisance/Code Enforcement","Unable to Locate",1
2015-07-27,"Nuisance/Code Enforcement","Unfounded",1
2015-07-27,"Officer-Initiated Contact","Advised",8
2015-07-27,"Officer-Initiated Contact","Cited",19
2015-07-27,"Officer-Initiated Contact","Service",12
2015-07-27,"Officer-Initiated Contact","Unable to Locate",1
2015-07-27,"Patrol Response for Assessment","Advised",2
2015-07-27,"Patrol Response for Assessment","Cancelled by RP",4
2015-07-27,"Patrol Response for Assessment","Cited",1
2015-07-27,"Patrol Response for Assessment","Report Taken",1
2015-07-27,"Patrol Response for Assessment","Service",14
2015-07-27,"Patrol Response for Assessment","Unable to Locate",1
2015-07-27,"Property Theft/Destruction/Lost","Advised",1
2015-07-27,"Property Theft/Destruction/Lost","Report Taken",2
2015-07-27,"Property Theft/Destruction/Lost","Service",1
2015-07-27,"Required Other Agency/Department Response","Referred",1
2015-07-27,"Required Other Agency/Department Response","Service",1
2015-07-27,"Suspicious Activity","Cancelled by RP",3
2015-07-27,"Suspicious Activity","False Alarm",2
2015-07-27,"Suspicious Activity","Service",5
2015-07-27,"Suspicious Activity","Unable to Locate",1
2015-07-27,"Suspicious Activity","Unfounded",1
2015-07-27,"Traffic/Major Safety","Report Taken",1
2015-07-27,"Traffic/Major Safety","Service",3
2015-07-27,"Traffic/Major Safety","Unable to Locate",1
2015-07-27,"Traffic/Minor Vehicle Violations or Issues","Cancelled by RP",1
2015-07-27,"Traffic/Minor Vehicle Violations or Issues","Referred",2
2015-07-27,"Traffic/Minor Vehicle Violations or Issues","Service",7
2015-07-27,"Violent Crime/Abuse or Neglect/Public Safety","Advised",1
2015-07-27,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",2
2015-07-28,"Documentation Only/Miscellaneous","Advised",1
2015-07-28,"Documentation Only/Miscellaneous","Report Taken",1
2015-07-28,"Documentation Only/Miscellaneous","Service",3
2015-07-28,"Drug/Alcohol","Service",2
2015-07-28,"Mental Health/Welfare","Service",1
2015-07-28,"Nuisance/Code Enforcement","Advised",1
2015-07-28,"Nuisance/Code Enforcement","Referred",1
2015-07-28,"Nuisance/Code Enforcement","Service",5
2015-07-28,"Nuisance/Code Enforcement","Unable to Locate",1
2015-07-28,"Nuisance/Code Enforcement","Unfounded",1
2015-07-28,"Officer-Initiated Contact","Advised",12
2015-07-28,"Officer-Initiated Contact","Cited",2
2015-07-28,"Officer-Initiated Contact","Service",12
2015-07-28,"Patrol Response for Assessment","Advised",5
2015-07-28,"Patrol Response for Assessment","Cancelled by RP",6
2015-07-28,"Patrol Response for Assessment","Incident Number Given",1
2015-07-28,"Patrol Response for Assessment","Report Taken",1
2015-07-28,"Patrol Response for Assessment","Service",30
2015-07-28,"Patrol Response for Assessment","Unable to Locate",6
2015-07-28,"Property Theft/Destruction/Lost","Cancelled by RP",1
2015-07-28,"Property Theft/Destruction/Lost","MORF",2
2015-07-28,"Property Theft/Destruction/Lost","Online Crime Report",9
2015-07-28,"Property Theft/Destruction/Lost","Report Taken",2
2015-07-28,"Property Theft/Destruction/Lost","Service",1
2015-07-28,"Required Other Agency/Department Response","Service",1
2015-07-28,"Suspicious Activity","Advised",2
2015-07-28,"Suspicious Activity","Cancelled by RP",7
2015-07-28,"Suspicious Activity","False Alarm",1
2015-07-28,"Suspicious Activity","Online Crime Report",1
2015-07-28,"Suspicious Activity","Service",3
2015-07-28,"Suspicious Activity","Unable to Locate",2
2015-07-28,"Traffic/Major Safety","Report Taken",2
2015-07-28,"Traffic/Minor Vehicle Violations or Issues","Cancelled by RP",1
2015-07-28,"Traffic/Minor Vehicle Violations or Issues","Referred",1
2015-07-28,"Traffic/Minor Vehicle Violations or Issues","Report Taken",1
2015-07-28,"Traffic/Minor Vehicle Violations or Issues","Service",6
2015-07-28,"Traffic/Minor Vehicle Violations or Issues","Unable to Locate",2
2015-07-28,"Violent Crime/Abuse or Neglect/Public Safety","Arrest Made",1
2015-07-28,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",2
2015-07-28,"Violent Crime/Abuse or Neglect/Public Safety","Service",1
2015-07-29,"Documentation Only/Miscellaneous","Report Taken",1
2015-07-29,"Documentation Only/Miscellaneous","Service",2
2015-07-29,"Mental Health/Welfare","Arrest Made",1
2015-07-29,"Mental Health/Welfare","Service",4
2015-07-29,"Nuisance/Code Enforcement","Cancelled by RP",1
2015-07-29,"Nuisance/Code Enforcement","Cited",1
2015-07-29,"Nuisance/Code Enforcement","Service",7
2015-07-29,"Officer-Initiated Contact","Advised",12
2015-07-29,"Officer-Initiated Contact","Arrest Made",1
2015-07-29,"Officer-Initiated Contact","Cited",11
2015-07-29,"Officer-Initiated Contact","Service",21
2015-07-29,"Patrol Response for Assessment","Arrest Made",1
2015-07-29,"Patrol Response for Assessment","Cancelled by RP",7
2015-07-29,"Patrol Response for Assessment","Civil Problem",1
2015-07-29,"Patrol Response for Assessment","Report Taken",1
2015-07-29,"Patrol Response for Assessment","Service",27
2015-07-29,"Patrol Response for Assessment","Unable to Locate",1
2015-07-29,"Property Theft/Destruction/Lost","Arrest Made",1
2015-07-29,"Property Theft/Destruction/Lost","MORF",1
2015-07-29,"Property Theft/Destruction/Lost","Online Crime Report",2
2015-07-29,"Property Theft/Destruction/Lost","Report Taken",5
2015-07-29,"Property Theft/Destruction/Lost","Service",2
2015-07-29,"Suspicious Activity","Cancelled by RP",2
2015-07-29,"Suspicious Activity","Service",5
2015-07-29,"Suspicious Activity","Unfounded",1
2015-07-29,"Traffic/Major Safety","Unable to Locate",1
2015-07-29,"Traffic/Minor Vehicle Violations or Issues","Service",2
2015-07-29,"Traffic/Minor Vehicle Violations or Issues","Unable to Locate",1
2015-07-29,"Violent Crime/Abuse or Neglect/Public Safety","Advised",1
2015-07-29,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",1
2015-07-29,"Violent Crime/Abuse or Neglect/Public Safety","Service",1
2015-07-29,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",1
2015-07-30,"Documentation Only/Miscellaneous","Service",2
2015-07-30,"Drug/Alcohol","Service",3
2015-07-30,"Drug/Alcohol","Unable to Locate",1
2015-07-30,"Mental Health/Welfare","Report Taken",1
2015-07-30,"Mental Health/Welfare","Service",1
2015-07-30,"Mental Health/Welfare","Unable to Locate",1
2015-07-30,"Nuisance/Code Enforcement","Advised",1
2015-07-30,"Nuisance/Code Enforcement","Referred",4
2015-07-30,"Nuisance/Code Enforcement","Service",2
2015-07-30,"Nuisance/Code Enforcement","Unable to Locate",1
2015-07-30,"Officer-Initiated Contact","Advised",3
2015-07-30,"Officer-Initiated Contact","Arrest Made",1
2015-07-30,"Officer-Initiated Contact","Cited",1
2015-07-30,"Officer-Initiated Contact","Service",28
2015-07-30,"Patrol Response for Assessment","Arrest Made",1
2015-07-30,"Patrol Response for Assessment","Cancelled by RP",8
2015-07-30,"Patrol Response for Assessment","Service",32
2015-07-30,"Patrol Response for Assessment","Unable to Locate",2
2015-07-30,"Property Theft/Destruction/Lost","MORF",1
2015-07-30,"Property Theft/Destruction/Lost","Online Crime Report",3
2015-07-30,"Property Theft/Destruction/Lost","Referred",1
2015-07-30,"Property Theft/Destruction/Lost","Report Taken",3
2015-07-30,"Property Theft/Destruction/Lost","Service",4
2015-07-30,"Required Other Agency/Department Response","Referred",1
2015-07-30,"Suspicious Activity","Arrest Made",1
2015-07-30,"Suspicious Activity","Cancelled by RP",5
2015-07-30,"Suspicious Activity","Service",10
2015-07-30,"Suspicious Activity","Unable to Locate",3
2015-07-30,"Traffic/Major Safety","Referred",1
2015-07-30,"Traffic/Major Safety","Service",2
2015-07-30,"Traffic/Minor Vehicle Violations or Issues","Cited",1
2015-07-30,"Traffic/Minor Vehicle Violations or Issues","Service",3
2015-07-30,"Violent Crime/Abuse or Neglect/Public Safety","Advised",1
2015-07-30,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",7
2015-07-30,"Violent Crime/Abuse or Neglect/Public Safety","Service",2
2015-07-31,"Documentation Only/Miscellaneous","Report Taken",1
2015-07-31,"Drug/Alcohol","Service",1
2015-07-31,"Mental Health/Welfare","Service",2
2015-07-31,"Nuisance/Code Enforcement","Advised",1
2015-07-31,"Nuisance/Code Enforcement","Referred",1
2015-07-31,"Nuisance/Code Enforcement","Service",5
2015-07-31,"Nuisance/Code Enforcement","Unable to Locate",1
2015-07-31,"Officer-Initiated Contact","Advised",12
2015-07-31,"Officer-Initiated Contact","Arrest Made",4
2015-07-31,"Officer-Initiated Contact","Cancelled by RP",1
2015-07-31,"Officer-Initiated Contact","Cited",4
2015-07-31,"Officer-Initiated Contact","Service",27
2015-07-31,"Patrol Response for Assessment","Advised",2
2015-07-31,"Patrol Response for Assessment","Cancelled by RP",4
2015-07-31,"Patrol Response for Assessment","Civil Problem",1
2015-07-31,"Patrol Response for Assessment","Report Taken",1
2015-07-31,"Patrol Response for Assessment","Service",19
2015-07-31,"Patrol Response for Assessment","Unable to Locate",2
2015-07-31,"Property Theft/Destruction/Lost","Report Taken",4
2015-07-31,"Property Theft/Destruction/Lost","Service",2
2015-07-31,"Required Other Agency/Department Response","Referred",5
2015-07-31,"Suspicious Activity","Cancelled by RP",1
2015-07-31,"Suspicious Activity","Service",9
2015-07-31,"Suspicious Activity","Unable to Locate",2
2015-07-31,"Suspicious Activity","Unfounded",1
2015-07-31,"Traffic/Major Safety","Referred",1
2015-07-31,"Traffic/Minor Vehicle Violations or Issues","Cited",1
2015-07-31,"Traffic/Minor Vehicle Violations or Issues","Service",1
2015-07-31,"Violent Crime/Abuse or Neglect/Public Safety","Arrest Made",3
2015-07-31,"Violent Crime/Abuse or Neglect/Public Safety","Referred",1
2015-07-31,"Violent Crime/Abuse or Neglect/Public Safety","Service",1
2015-08-01,"Documentation Only/Miscellaneous","Service",1
2015-08-01,"Drug/Alcohol","False Alarm",1
2015-08-01,"Mental Health/Welfare","Report Taken",1
2015-08-01,"Mental Health/Welfare","Service",3
2015-08-01,"Nuisance/Code Enforcement","Advised",4
2015-08-01,"Nuisance/Code Enforcement","Service",4
2015-08-01,"Nuisance/Code Enforcement","Unable to Locate",2
2015-08-01,"Officer-Initiated Contact","Advised",8
2015-08-01,"Officer-Initiated Contact","Arrest Made",2
2015-08-01,"Officer-Initiated Contact","Cited",3
2015-08-01,"Officer-Initiated Contact","Service",13
2015-08-01,"Patrol Response for Assessment","Advised",1
2015-08-01,"Patrol Response for Assessment","Arrest Made",2
2015-08-01,"Patrol Response for Assessment","Cancelled by RP",2
2015-08-01,"Patrol Response for Assessment","Report Taken",1
2015-08-01,"Patrol Response for Assessment","Service",18
2015-08-01,"Property Theft/Destruction/Lost","Arrest Made",1
2015-08-01,"Property Theft/Destruction/Lost","MORF",1
2015-08-01,"Property Theft/Destruction/Lost","Report Taken",2
2015-08-01,"Property Theft/Destruction/Lost","Service",4
2015-08-01,"Required Other Agency/Department Response","Referred",3
2015-08-01,"Required Other Agency/Department Response","Service",1
2015-08-01,"Required Other Agency/Department Response","Unable to Locate",1
2015-08-01,"Suspicious Activity","Report Taken",1
2015-08-01,"Suspicious Activity","Service",8
2015-08-01,"Suspicious Activity","Unable to Locate",1
2015-08-01,"Traffic/Major Safety","Report Taken",1
2015-08-01,"Traffic/Major Safety","Service",2
2015-08-01,"Traffic/Minor Vehicle Violations or Issues","Referred",1
2015-08-01,"Traffic/Minor Vehicle Violations or Issues","Service",3
2015-08-01,"Violent Crime/Abuse or Neglect/Public Safety","Advised",1
2015-08-01,"Violent Crime/Abuse or Neglect/Public Safety","Arrest Made",1
2015-08-01,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",2
2015-08-01,"Violent Crime/Abuse or Neglect/Public Safety","Service",2
2015-08-02,"Mental Health/Welfare","Advised",1
2015-08-02,"Mental Health/Welfare","Arrest Made",1
2015-08-02,"Mental Health/Welfare","Unable to Locate",2
2015-08-02,"Nuisance/Code Enforcement","False Alarm",1
2015-08-02,"Nuisance/Code Enforcement","Service",1
2015-08-02,"Nuisance/Code Enforcement","Unable to Locate",2
2015-08-02,"Nuisance/Code Enforcement","Unfounded",1
2015-08-02,"Officer-Initiated Contact","Advised",7
2015-08-02,"Officer-Initiated Contact","Cited",11
2015-08-02,"Officer-Initiated Contact","Service",8
2015-08-02,"Patrol Response for Assessment","Advised",1
2015-08-02,"Patrol Response for Assessment","Cancelled by RP",14
2015-08-02,"Patrol Response for Assessment","Referred",1
2015-08-02,"Patrol Response for Assessment","Report Taken",1
2015-08-02,"Patrol Response for Assessment","Service",14
2015-08-02,"Patrol Response for Assessment","Unable to Locate",2
2015-08-02,"Patrol Response for Assessment","Unfounded",1
2015-08-02,"Property Theft/Destruction/Lost","Cancelled by RP",1
2015-08-02,"Property Theft/Destruction/Lost","Report Taken",4
2015-08-02,"Property Theft/Destruction/Lost","Service",2
2015-08-02,"Suspicious Activity","Cancelled by RP",1
2015-08-02,"Suspicious Activity","False Alarm",1
2015-08-02,"Suspicious Activity","Service",3
2015-08-02,"Suspicious Activity","Unable to Locate",1
2015-08-02,"Traffic/Major Safety","Report Taken",1
2015-08-02,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",1
2015-08-02,"Violent Crime/Abuse or Neglect/Public Safety","Service",2
2015-08-03,"Documentation Only/Miscellaneous","Service",1
